iid,gender,pid,match,age,race,imprace,imprelig,from,income,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,QUE BUSCA ,Attractive1,Sincere1,Intelligent1,Fun1,Ambitious1,Has shared interests/hobbies1,DESPUES DE CITA,Decision,Attractive,Sincere,Intelligent,Fun,Ambitious,Shared Interests/Hobbies,like,prob,QUE PIENSA DE SI MISMO,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2
1,0,11,0,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,1,6,9,7,7,6,5,7,6,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,12,0,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,1,7,8,7,8,5,6,7,5,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,13,1,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,1,5,8,9,8,5,7,7,,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,14,1,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,1,7,6,8,7,6,8,7,6,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,15,1,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,1,5,6,7,7,6,6,6,6,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,16,0,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,0,4,9,7,4,6,4,6,5,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,17,0,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,1,7,6,7,4,6,7,6,5,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,18,0,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,0,4,9,7,6,5,6,6,7,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,19,1,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,1,7,6,8,9,8,8,7,7,QUE PIENSA DE SI MISMO,6,7,8,7,6
1,0,20,0,21,4,2,4,Chicago,"69,487.00",7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,DESPUES DE CITA,1,5,6,6,8,10,8,6,6,QUE PIENSA DE SI MISMO,6,7,8,7,6
2,0,11,0,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,0,5,7,8,4,6,3,6,4,QUE PIENSA DE SI MISMO,7,6,8,9,4
2,0,12,0,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,0,8,5,6,6,9,6,7,3,QUE PIENSA DE SI MISMO,7,6,8,9,4
2,0,13,0,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,0,5,8,9,6,3,4,6,7,QUE PIENSA DE SI MISMO,7,6,8,9,4
2,0,14,1,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,1,7,9,7,6,5,7,7,8,QUE PIENSA DE SI MISMO,7,6,8,9,4
2,0,15,0,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,0,6,8,7,9,7,8,8,6,QUE PIENSA DE SI MISMO,7,6,8,9,4
2,0,16,0,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,0,8,7,8,3,6,2,6,5,QUE PIENSA DE SI MISMO,7,6,8,9,4
2,0,17,0,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,1,7,5,9,6,7,9,8,7,QUE PIENSA DE SI MISMO,7,6,8,9,4
2,0,18,0,24,2,2,5,Alabama,"65,929.00",5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,DESPUES DE CITA,0,5,8,7,5,9,5,5,6,QUE PIENSA DE SI MISMO,7,6,8,9,4
