iid,gender,pid,match,age,race,imprace,imprelig,from,Income,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,QUE BUSCA ,Attractive1,Sincere1,Intelligent1,Fun1,Ambitious1,Has shared interests/hobbies1,QUE PIENSA DE SI MISMO,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,Matches no/si efectivos,no,yes,Si saldrian con ellos otravez,no,yes,Rating que obtuvieron de sus dates,Ambitious,Attractive,Fun,Intelligent,Shared Interests/Hobbies,Sincere,like,prob
1,0,11,0,21,4,2,4,Chicago,69487.00,7,1,lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,QUE BUSCA ,15,20,20,15,15,15,QUE PIENSA DE SI MISMO,6,7,8,7,6,Matches no/si efectivos,6,4,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,8,6.7,7.2,8,7.1,7.4,6.85,5.7
2,0,11,0,24,2,2,5,Alabama,65929.00,5,1,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,QUE BUSCA ,45,5,25,20,0,5,QUE PIENSA DE SI MISMO,7,6,8,9,4,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,4,6,Rating que obtuvieron de sus dates,7.5,7.7,7.5,7.9,6.5,7.1,7.6,5.5
3,0,11,0,25,2,8,4,Connecticut,0.00,3,1,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,QUE BUSCA ,35,10,35,10,10,0,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,7.111111111,6.5,6.2,7.3,6,7.1,6,4.5
4,0,11,0,23,2,1,1,Texas,37754.00,5,1,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,QUE BUSCA ,20,20,20,20,10,10,QUE PIENSA DE SI MISMO,6,8,7,8,6,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,4,6,Rating que obtuvieron de sus dates,7.7,7,7.5,7.7,7.2,7.1,7.3,6.5
5,0,11,0,21,2,8,1,Bowdoin College,86340.00,4,1,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,QUE BUSCA ,20,5,25,25,10,15,QUE PIENSA DE SI MISMO,6,6,9,9,9,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,7.8,5.3,7.2,7.6,6.2,7.7,6.1,6.5
6,0,11,0,23,4,1,1,MD,60304.00,3,1,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,QUE BUSCA ,10,25,20,25,5,15,QUE PIENSA DE SI MISMO,5,8,9,8,3,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,8,6.8,7,8.6,6.3,7.8,6.8,5.5
7,0,11,0,22,4,2,4,Southern California,54620.00,5,1,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,QUE BUSCA ,15,15,25,20,15,10,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,3,7,Rating que obtuvieron de sus dates,7.5,7.9,7,8.2,6.7,7.6,7.6,6.1
8,0,11,0,25,2,1,1,"London, England",0.00,5,1,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,QUE BUSCA ,9.09,18.18,27.27,18.18,18.18,9.09,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,2,8,Si saldrian con ellos otravez,2,8,Rating que obtuvieron de sus dates,7.444444444,8.2,7.9,8.1,6.8,7.8,7.7,6.3
9,0,11,0,26,6,1,1,"Palm Springs, California",0.00,4,1,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,QUE BUSCA ,20,10,20,30,10,10,QUE PIENSA DE SI MISMO,7,10,8,10,9,Matches no/si efectivos,3,7,Si saldrian con ellos otravez,3,7,Rating que obtuvieron de sus dates,6.9,7,7.8,7.5,6.3,7.4,7.1,5.9
10,0,11,0,26,2,4,4,94115,48652.00,6,1,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,QUE BUSCA ,15,15,15,40,10,5,QUE PIENSA DE SI MISMO,10,5,10,10,10,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.2,6.333333333,6.4,6.4,5.777777778,7,6,6
